id,class
data/seg_train/seg_train/forest/5109.jpg,forest
data/seg_train/seg_train/forest/14621.jpg,forest
data/seg_train/seg_train/forest/6366.jpg,forest
data/seg_train/seg_train/forest/4565.jpg,forest
data/seg_train/seg_train/forest/17472.jpg,forest
data/seg_train/seg_train/forest/15517.jpg,forest
data/seg_train/seg_train/forest/14609.jpg,forest
data/seg_train/seg_train/forest/16778.jpg,forest
data/seg_train/seg_train/forest/5121.jpg,forest
data/seg_train/seg_train/forest/13833.jpg,forest
data/seg_train/seg_train/forest/9096.jpg,forest
data/seg_train/seg_train/forest/5860.jpg,forest
data/seg_train/seg_train/forest/2699.jpg,forest
data/seg_train/seg_train/forest/16977.jpg,forest
data/seg_train/seg_train/forest/7093.jpg,forest
data/seg_train/seg_train/forest/14423.jpg,forest
data/seg_train/seg_train/forest/10645.jpg,forest
data/seg_train/seg_train/forest/10123.jpg,forest
data/seg_train/seg_train/forest/6616.jpg,forest
data/seg_train/seg_train/forest/9525.jpg,forest
data/seg_train/seg_train/forest/11229.jpg,forest
data/seg_train/seg_train/forest/4001.jpg,forest
data/seg_train/seg_train/forest/15067.jpg,forest
data/seg_train/seg_train/forest/4029.jpg,forest
data/seg_train/seg_train/forest/18557.jpg,forest
data/seg_train/seg_train/forest/5323.jpg,forest
data/seg_train/seg_train/forest/17664.jpg,forest
data/seg_train/seg_train/forest/1145.jpg,forest
data/seg_train/seg_train/forest/4983.jpg,forest
data/seg_train/seg_train/forest/17857.jpg,forest
data/seg_train/seg_train/forest/16585.jpg,forest
data/seg_train/seg_train/forest/7285.jpg,forest
data/seg_train/seg_train/forest/3949.jpg,forest
data/seg_train/seg_train/forest/12126.jpg,forest
data/seg_train/seg_train/forest/9323.jpg,forest
data/seg_train/seg_train/forest/10731.jpg,forest
data/seg_train/seg_train/forest/14225.jpg,forest
data/seg_train/seg_train/forest/2504.jpg,forest
data/seg_train/seg_train/forest/15885.jpg,forest
data/seg_train/seg_train/forest/6004.jpg,forest
data/seg_train/seg_train/forest/1025.jpg,forest
data/seg_train/seg_train/forest/11375.jpg,forest
data/seg_train/seg_train/forest/15107.jpg,forest
data/seg_train/seg_train/forest/7440.jpg,forest
data/seg_train/seg_train/forest/1757.jpg,forest
data/seg_train/seg_train/forest/5531.jpg,forest
data/seg_train/seg_train/forest/17923.jpg,forest
data/seg_train/seg_train/forest/9492.jpg,forest
data/seg_train/seg_train/forest/4820.jpg,forest
data/seg_train/seg_train/forest/6789.jpg,forest
data/seg_train/seg_train/forest/566.jpg,forest
data/seg_train/seg_train/forest/3183.jpg,forest
data/seg_train/seg_train/forest/8559.jpg,forest
data/seg_train/seg_train/forest/9647.jpg,forest
data/seg_train/seg_train/forest/10533.jpg,forest
data/seg_train/seg_train/forest/11639.jpg,forest
data/seg_train/seg_train/forest/10527.jpg,forest
data/seg_train/seg_train/forest/943.jpg,forest
data/seg_train/seg_train/forest/12456.jpg,forest
data/seg_train/seg_train/forest/13748.jpg,forest
data/seg_train/seg_train/forest/14027.jpg,forest
data/seg_train/seg_train/forest/17506.jpg,forest
data/seg_train/seg_train/forest/3430.jpg,forest
data/seg_train/seg_train/forest/8565.jpg,forest
data/seg_train/seg_train/forest/13006.jpg,forest
data/seg_train/seg_train/forest/3356.jpg,forest
data/seg_train/seg_train/forest/1555.jpg,forest
data/seg_train/seg_train/forest/11188.jpg,forest
data/seg_train/seg_train/forest/2909.jpg,forest
data/seg_train/seg_train/forest/15488.jpg,forest
data/seg_train/seg_train/forest/758.jpg,forest
data/seg_train/seg_train/forest/980.jpg,forest
data/seg_train/seg_train/forest/9848.jpg,forest
data/seg_train/seg_train/forest/14972.jpg,forest
data/seg_train/seg_train/forest/14966.jpg,forest
data/seg_train/seg_train/forest/18184.jpg,forest
data/seg_train/seg_train/forest/2921.jpg,forest
data/seg_train/seg_train/forest/16817.jpg,forest
data/seg_train/seg_train/forest/9874.jpg,forest
data/seg_train/seg_train/forest/5083.jpg,forest
data/seg_train/seg_train/forest/7694.jpg,forest
data/seg_train/seg_train/forest/10283.jpg,forest
data/seg_train/seg_train/forest/18807.jpg,forest
data/seg_train/seg_train/forest/13952.jpg,forest
data/seg_train/seg_train/forest/11837.jpg,forest
data/seg_train/seg_train/forest/7125.jpg,forest
data/seg_train/seg_train/forest/1554.jpg,forest
data/seg_train/seg_train/forest/11162.jpg,forest
data/seg_train/seg_train/forest/15310.jpg,forest
data/seg_train/seg_train/forest/5726.jpg,forest
data/seg_train/seg_train/forest/18152.jpg,forest
data/seg_train/seg_train/forest/2049.jpg,forest
data/seg_train/seg_train/forest/11610.jpg,forest
data/seg_train/seg_train/forest/12457.jpg,forest
data/seg_train/seg_train/forest/10240.jpg,forest
data/seg_train/seg_train/forest/16625.jpg,forest
data/seg_train/seg_train/forest/567.jpg,forest
data/seg_train/seg_train/forest/7482.jpg,forest
data/seg_train/seg_train/forest/4835.jpg,forest
data/seg_train/seg_train/forest/10917.jpg,forest
data/seg_train/seg_train/forest/1781.jpg,forest
data/seg_train/seg_train/forest/573.jpg,forest
data/seg_train/seg_train/forest/15106.jpg,forest
data/seg_train/seg_train/forest/17711.jpg,forest
data/seg_train/seg_train/forest/18422.jpg,forest
data/seg_train/seg_train/forest/3141.jpg,forest
data/seg_train/seg_train/forest/10718.jpg,forest
data/seg_train/seg_train/forest/3155.jpg,forest
data/seg_train/seg_train/forest/5524.jpg,forest
data/seg_train/seg_train/forest/18350.jpg,forest
data/seg_train/seg_train/forest/1024.jpg,forest
data/seg_train/seg_train/forest/9450.jpg,forest
data/seg_train/seg_train/forest/16355.jpg,forest
data/seg_train/seg_train/forest/19072.jpg,forest
data/seg_train/seg_train/forest/5518.jpg,forest
data/seg_train/seg_train/forest/12641.jpg,forest
data/seg_train/seg_train/forest/17739.jpg,forest
data/seg_train/seg_train/forest/16427.jpg,forest
data/seg_train/seg_train/forest/361.jpg,forest
data/seg_train/seg_train/forest/6824.jpg,forest
data/seg_train/seg_train/forest/407.jpg,forest
data/seg_train/seg_train/forest/17856.jpg,forest
data/seg_train/seg_train/forest/6818.jpg,forest
data/seg_train/seg_train/forest/1144.jpg,forest
data/seg_train/seg_train/forest/18230.jpg,forest
data/seg_train/seg_train/forest/10678.jpg,forest
data/seg_train/seg_train/forest/14378.jpg,forest
data/seg_train/seg_train/forest/11228.jpg,forest
data/seg_train/seg_train/forest/12721.jpg,forest
data/seg_train/seg_train/forest/14344.jpg,forest
data/seg_train/seg_train/forest/2465.jpg,forest
data/seg_train/seg_train/forest/2840.jpg,forest
data/seg_train/seg_train/forest/11957.jpg,forest
data/seg_train/seg_train/forest/5861.jpg,forest
data/seg_train/seg_train/forest/14191.jpg,forest
data/seg_train/seg_train/forest/13826.jpg,forest
data/seg_train/seg_train/forest/639.jpg,forest
data/seg_train/seg_train/forest/14185.jpg,forest
data/seg_train/seg_train/forest/16792.jpg,forest
data/seg_train/seg_train/forest/5875.jpg,forest
data/seg_train/seg_train/forest/8389.jpg,forest
data/seg_train/seg_train/forest/13167.jpg,forest
data/seg_train/seg_train/forest/15516.jpg,forest
data/seg_train/seg_train/forest/11770.jpg,forest
data/seg_train/seg_train/forest/3551.jpg,forest
data/seg_train/seg_train/forest/15270.jpg,forest
data/seg_train/seg_train/forest/15264.jpg,forest
data/seg_train/seg_train/forest/11764.jpg,forest
data/seg_train/seg_train/forest/7045.jpg,forest
data/seg_train/seg_train/forest/2115.jpg,forest
data/seg_train/seg_train/forest/14152.jpg,forest
data/seg_train/seg_train/forest/10320.jpg,forest
data/seg_train/seg_train/forest/15258.jpg,forest
data/seg_train/seg_train/forest/1378.jpg,forest
data/seg_train/seg_train/forest/7709.jpg,forest
data/seg_train/seg_train/forest/13159.jpg,forest
data/seg_train/seg_train/forest/9718.jpg,forest
data/seg_train/seg_train/forest/48.jpg,forest
data/seg_train/seg_train/forest/5644.jpg,forest
data/seg_train/seg_train/forest/7053.jpg,forest
data/seg_train/seg_train/forest/18024.jpg,forest
data/seg_train/seg_train/forest/18742.jpg,forest
data/seg_train/seg_train/forest/8412.jpg,forest
data/seg_train/seg_train/forest/13824.jpg,forest
data/seg_train/seg_train/forest/18795.jpg,forest
data/seg_train/seg_train/forest/175.jpg,forest
data/seg_train/seg_train/forest/11969.jpg,forest
data/seg_train/seg_train/forest/16974.jpg,forest
data/seg_train/seg_train/forest/19110.jpg,forest
data/seg_train/seg_train/forest/16223.jpg,forest
data/seg_train/seg_train/forest/18568.jpg,forest
data/seg_train/seg_train/forest/15058.jpg,forest
data/seg_train/seg_train/forest/9532.jpg,forest
data/seg_train/seg_train/forest/8162.jpg,forest
data/seg_train/seg_train/forest/15716.jpg,forest
data/seg_train/seg_train/forest/19138.jpg,forest
